BP NUMBER,METER NUMBER,METER TYPE,METER READING,REMARKS,METER MONTH,METER MONTH(NAME),Festival
1000064068,AR0551852/C4593,ACTARIS,2123,,10,OCT,Dussehra
1000064069,11318621,AEM,668,,10,OCT,Dussehra
1000064118,11316071,AEM,320,,10,OCT,Dussehra
1000064132,1121701,AEM,2580,,10,OCT,Dussehra
1000064503,AL-0620021/C-4792,ACTARIS,5401,,10,OCT,Dussehra
1000071037,1283131,AEM,2333,,10,OCT,Dussehra
1000072426,50612421,ACTARIS,2431,,10,OCT,Dussehra
1000074322,1078061,AEM,4942,,10,OCT,Dussehra
1000077017,3039821,ACTARIS,2139,,10,OCT,Dussehra
1000082454,3057171,ACTARIS,1094,,10,OCT,Dussehra
1000082917,1080991,AEM,1824,,10,OCT,Dussehra
1000082918,1078041,AEM,1721,,10,OCT,Dussehra
1000082923,3030341,ACTARIS,2412,,10,OCT,Dussehra
1000082960,1076901,AEM,5455,,10,OCT,Dussehra
1000082980,1078781,AEM,2869,,10,OCT,Dussehra
1000083509,1078201,AEM,4345,,10,OCT,Dussehra
1000094956,1119431,AEM,1627,,10,OCT,Dussehra
1000096242,3155271,ACTARIS,2735,,10,OCT,Dussehra
1000096248,3159771,ACTARIS,4393,,10,OCT,Dussehra
1000096285,3153741,ACTARIS,2419,,10,OCT,Dussehra
1000096308,3153731,ACTARIS,2531,,10,OCT,Dussehra
1000096314,3105281,ACTARIS,6454,,10,OCT,Dussehra
1000096695,3153831,ACTARIS,5009,,10,OCT,Dussehra
1000101112,3137981,ACTARIS,4263,,10,OCT,Dussehra
1000101135,3164931,ACTARIS,2964,,10,OCT,Dussehra
1000101148,1116001,AEM,2379,,10,OCT,Dussehra
1000102560,1119401,AEM,1825,,10,OCT,Dussehra
1000102561,1115981,AEM,2504,,10,OCT,Dussehra
1000102562,1126151,AEM,1265,,10,OCT,Dussehra
1000102563,1115021,AEM,2289,,10,OCT,Dussehra
1000102566,3138001,ACTARIS,1204,,10,OCT,Dussehra
1000102567,3164941,ACTARIS,1744,DIGIT NOT CLEAR,10,OCT,Dussehra
1000102569,1113691,AEM,1811,,10,OCT,Dussehra
1000102570,1116651,AEM,1391,,10,OCT,Dussehra
1000102571,3173651,ACTARIS,1621,,10,OCT,Dussehra
1000102600,3173851,ACTARIS,2147,,10,OCT,Dussehra
1000102601,3173251,ACTARIS,4433,,10,OCT,Dussehra
1000102602,3139551,ACTARIS,1802,,10,OCT,Dussehra
1000102632,3164831,ACTARIS,1577,,10,OCT,Dussehra
1000103670,1467341,AEM,1854,,10,OCT,Dussehra
1000107166,3113701,ACTARIS,823,,10,OCT,Dussehra
1000107167,3082371,ACTARIS,1923,,10,OCT,Dussehra
1000107168,3073681,ACTARIS,2332,,10,OCT,Dussehra
1000107169,3082401,ACTARIS,3376,,10,OCT,Dussehra
1000107211,3098221,ACTARIS,1601,,10,OCT,Dussehra
1000107237,3151781,ACTARIS,2520,DIGIT NOT CLEAR,10,OCT,Dussehra
1000107238,3139601,ACTARIS,2148,,10,OCT,Dussehra
1000107239,3085431,ACTARIS,1825,,10,OCT,Dussehra
1000107240,3086821,ACTARIS,3626,,10,OCT,Dussehra
1000107241,3084221,ACTARIS,1712,,10,OCT,Dussehra
1000107242,3103551,ACTARIS,2786,,10,OCT,Dussehra
1000107243,3090431,ACTARIS,2246,,10,OCT,Dussehra
1000111894,3-235438-1,ITRON,623,,10,OCT,Dussehra
1000111895,3101471,ACTARIS,1258,,10,OCT,Dussehra
1000111896,3101481,ACTARIS,1704,,10,OCT,Dussehra
1000111897,3101451,ACTARIS,2425,,10,OCT,Dussehra
1000111898,3103531,ACTARIS,1809,,10,OCT,Dussehra
1000111900,AL-0507129/C4593,ACTARIS,2264,,10,OCT,Dussehra
1000111904,3148031,ACTARIS,1990,,10,OCT,Dussehra
1000111909,31341471,ITRON,1804,,10,OCT,Dussehra
1000111923,3136941,ACTARIS,1157,,10,OCT,Dussehra
1000111924,3082381,ACTARIS,1039,,10,OCT,Dussehra
1000111925,31046641,ITRON,1536,,10,OCT,Dussehra
1000111926,3083701,ACTARIS,2109,,10,OCT,Dussehra
1000111950,3113721,ACTARIS,3462,,10,OCT,Dussehra
1000111951,3116131,ACTARIS,1134,,10,OCT,Dussehra
1000111952,3083321,ACTARIS,1933,,10,OCT,Dussehra
1000114716,3148341,ACTARIS,1449,,10,OCT,Dussehra
1000115093,1151791,AEM,755,,10,OCT,Dussehra
1000115443,1144671,AEM,2526,,10,OCT,Dussehra
1000115579,3084771,ACTARIS,986,,10,OCT,Dussehra
1000115580,3101461,ACTARIS,2457,,10,OCT,Dussehra
1000115889,1154351,AEM,2407,,10,OCT,Dussehra
1000115928,1140571,AEM,4732,,10,OCT,Dussehra
1000116945,3148361,ACTARIS,1016,,10,OCT,Dussehra
1000117016,1173431,AEM,1874,,10,OCT,Dussehra
1000117029,1145281,AEM,2634,,10,OCT,Dussehra
1000117031,1170011,AEM,4461,,10,OCT,Dussehra
1000117727,3082581,ACTARIS,2498,,10,OCT,Dussehra
1000119683,1350031,AEM,5589,,10,OCT,Dussehra
1000119695,1348611,AEM,5002,,10,OCT,Dussehra
1000120293,1170031,AEM,2426,,10,OCT,Dussehra
1000120968,3072641,ACTARIS,1582,,10,OCT,Dussehra
1000120986,3082501,ACTARIS,1666,,10,OCT,Dussehra
1000120987,3101351,ACTARIS,987,,10,OCT,Dussehra
1000120988,3083721,ACTARIS,1797,DIGIT NOT CLEAR,10,OCT,Dussehra
1000121234,1153461,AEM,1255,,10,OCT,Dussehra
1000123608,1159801,AEM,1190,,10,OCT,Dussehra
1000123616,1150111,AEM,1760,DIGIT NOT CLEAR,10,OCT,Dussehra
1000126967,1286191,AEM,2006,,10,OCT,Dussehra
1000126968,3087931,ACTARIS,2880,,10,OCT,Dussehra
1000126969,3087101,ACTARIS,2624,,10,OCT,Dussehra
1000126970,3069281,ACTARIS,2280,,10,OCT,Dussehra
1000126971,3087951,ACTARIS,2446,,10,OCT,Dussehra
1000126973,1386481,AEM,3152,,10,OCT,Dussehra
1000126974,3069261,ACTARIS,1669,,10,OCT,Dussehra
1000126977,3087961,ACTARIS,2183,,10,OCT,Dussehra
1000126978,3074811,ACTARIS,1168,,10,OCT,Dussehra
1000126979,3069641,ACTARIS,1197,,10,OCT,Dussehra
1000126980,3069621,ACTARIS,1251,,10,OCT,Dussehra
1000126981,3113021,ACTARIS,3831,,10,OCT,Dussehra
1000127002,3069631,ACTARIS,1302,,10,OCT,Dussehra
1000127003,3101331,ACTARIS,1796,,10,OCT,Dussehra
1000127590,1322871,AEM,1767,,10,OCT,Dussehra
1000127639,1323661,AEM,1118,,10,OCT,Dussehra
1000127656,1287631,AEM,990,,10,OCT,Dussehra
1000023404,A-0510360/C4593,ACTARIS,1404,,8,AUG,
1000023405,AL-0510363/C4593,ACTARIS,746,,8,AUG,
1000023411,AL-0506596/C4593,ACTARIS,4428,,8,AUG,
1000023421,AL-0510468/C4593,ACTARIS,1254,,8,AUG,
1000023424,AL-0510397/C4593,ACTARIS,50,,8,AUG,
1000023427,AL-0510502/C4593,ACTARIS,50,,8,AUG,
1000023582,AL-0507260/C4593,ACTARIS,50,,8,AUG,
1000023585,3083122,ACTARIS,50,,8,AUG,
1000023586,AL-0505819/C4593,ACTARIS,50,,8,AUG,
1000023587,AL-0508131/C4593,ACTARIS,50,,8,AUG,
1000023588,AL-0506724/C4593,ACTARIS,50,,8,AUG,
1000023595,AL-0507117/C4593,ACTARIS,50,,8,AUG,
1000023596,AL-0507124/C4593,ACTARIS,50,,8,AUG,
1000023597,AL-0507137/C4593,ACTARIS,50,DIGIT NOT CLEAR,8,AUG,
1000023600,AL-0507143/C4593,ACTARIS,50,,8,AUG,
1000023602,AL-0507214/C4593,ACTARIS,50,,8,AUG,
1000023607,AL-0507221/C4593,ACTARIS,50,,8,AUG,
1000023609,AL-0507113/C4593,ACTARIS,50,,8,AUG,
1000023610,AL-0506720/C4593,ACTARIS,50,,8,AUG,
1000023611,AL-0506749/C4593,ACTARIS,50,,8,AUG,
1000023612,AL-0506734/C4593,ACTARIS,50,,8,AUG,
1000023614,AL-0507153/C4593,ACTARIS,50,,8,AUG,
1000023617,AL-0507211/C4593,ACTARIS,50,,8,AUG,
1000023619,AL-0506733/C4593,ACTARIS,2202,,8,AUG,
1000023620,AL-0506755/C4593,ACTARIS,1436,,8,AUG,
1000023622,AL-0507185/C4593,ACTARIS,2263,,8,AUG,
1000023624,AL-0507195/C4593,ACTARIS,937,,8,AUG,
1000023627,AL-0507190/C4593,ACTARIS,1711,,8,AUG,
1000023630,AL-0507233/C4593,ACTARIS,1492,,8,AUG,
1000023631,AL-0507126/C4593,ACTARIS,2367,,8,AUG,
1000023634,AL-0507198/C4593,ACTARIS,1182,,8,AUG,
1000023635,AL-0507169/C4593,ACTARIS,2721,,8,AUG,
1000023637,AL-0507134/C4593,ACTARIS,2066,,8,AUG,
1000023638,3100571,ACTARIS,1640,,8,AUG,
1000034958,AL-0509970/C4593,ACTARIS,1871,,8,AUG,
1000040409,,SCHLUMBERGER,2670,IMAGE NOT READABLE,8,AUG,
1000040410,,SCHLUMBERGER,1182,,8,AUG,
1000040415,3621631,ACTARIS,1633,,8,AUG,
1000040416,3253211,ACTARIS,4230,,8,AUG,
1000040417,306012,SCHLUMBERGER,3776,,8,AUG,
1000040422,IL40806626,INVENSYS,2075,,8,AUG,
1000040493,1864731,AEM,1388,,8,AUG,
1000040498,3-266230-1,ITRON,629,,8,AUG,
1000040499,203408,SCHLUMBERGER,2667,,8,AUG,
1000040500,16504799,RAYCHEM,624,,8,AUG,
1000040506,160700181,ITRON,760,,8,AUG,
1000040512,17920451,RAYCHEM,500,,8,AUG,
1000040551,,SCHLUMBERGER,2936,,8,AUG,
1000040552,15478540,RAYCHEM,1717,,8,AUG,
1000040692,1589071,AEM,1889,,8,AUG,
1000040693,3-031503-2,ITRON,2559,,8,AUG,
1000040694,3-0306414-2,ITRON,873,,8,AUG,
1000040695,15478460,RAYCHEM,807,,8,AUG,
1000040697,3-030963-02,ITRON,2735,,8,AUG,
1000040698,3-031498-2,ITRON,3217,,8,AUG,
1000040704,15481099,RAYCHEM,2870,,8,AUG,
1000040705,1551841,AEM,1806,,8,AUG,
1000040706,3-031502-2,ITRON,652,,8,AUG,
1000040779,15476994,RAYCHEM,1920,,8,AUG,
1000040791,3-031489-2,ITRON,1455,,8,AUG,
1000040794,3209421,ACTARIS,1213,,8,AUG,
1000040795,3209431,ACTARIS,2223,,8,AUG,
1000040911,14538442,RAYCHEM,1758,,8,AUG,
1000040927,15477384,RAYCHEM,2337,,8,AUG,
1000048400,AL-0507139/C4593,ACTARIS,1064,,8,AUG,
1000048401,AL-0507193/C4593,ACTARIS,1428,,8,AUG,
1000048406,AL-0507125/C4593,ACTARIS,2813,,8,AUG,
1000048407,AL-0507243/C4593,ACTARIS,2654,,8,AUG,
1000048408,AL-0507238/C4593,ACTARIS,1190,,8,AUG,
1000048865,IL50037087,SENSUS,2651,,8,AUG,
1000049238,3621651,ACTARIS,5514,,8,AUG,
1000049320,AL-0502191/C4593,ACTARIS,1460,,8,AUG,
1000049321,AL-0507159/C4593,ACTARIS,2278,,8,AUG,
1000049322,AL-0506812/C4593,ACTARIS,2672,,8,AUG,
1000049927,IL50032994,SENSUS,2100,,8,AUG,
1000053906,AL-0507188/C4593,ACTARIS,1213,,8,AUG,
1000053907,AL-0506764/C4593,ACTARIS,3681,,8,AUG,
1000053908,AL-0506737/C4593,ACTARIS,2111,,8,AUG,
1000053912,AL-0506767/C4593,ACTARIS,591,,8,AUG,
1000053916,AL-0506743/C4593,ACTARIS,2404,,8,AUG,
1000053919,AL-0506714/C4593,ACTARIS,2454,,8,AUG,
1000053921,AL-0508114/C4593,ACTARIS,1807,,8,AUG,
1000053924,AL-05068320/C4593,ACTARIS,2622,,8,AUG,
1000053929,AL-0506746/C4593,ACTARIS,1821,,8,AUG,
1000053930,AL-0506815/C4593,ACTARIS,1429,,8,AUG,
1000053933,AL-0506799/C4593,ACTARIS,3058,,8,AUG,
1000053934,AL-0507177/C4593,ACTARIS,2716,,8,AUG,
